pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
vertical_bars,0,8,20270930,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,8,20270930,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,8,20270930,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,9,20270931,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,9,20270931,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,9,20270931,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,9,20270931,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,5,0,20271922,overlap_64,64,32,laplacian_variance,5,0.048830,1.000000,1.000000
vertical_bars,5,0,20271922,overlap_64,64,32,tenengrad_energy,5,0.130712,1.000000,1.000000
vertical_bars,5,0,20271922,fine_32,32,16,laplacian_variance,21,0.061076,1.000000,1.000000
vertical_bars,5,0,20271922,fine_32,32,16,tenengrad_energy,21,0.142430,1.000000,1.000000
vertical_bars,5,1,20271923,overlap_64,64,32,laplacian_variance,5,0.048067,1.000000,1.000000
vertical_bars,5,1,20271923,overlap_64,64,32,tenengrad_energy,5,0.130695,1.000000,1.000000
vertical_bars,5,1,20271923,fine_32,32,16,laplacian_variance,21,0.060599,1.000000,1.000000
vertical_bars,5,1,20271923,fine_32,32,16,tenengrad_energy,21,0.141202,1.000000,1.000000
vertical_bars,5,2,20271924,overlap_64,64,32,laplacian_variance,5,0.048756,1.000000,1.000000
vertical_bars,5,2,20271924,overlap_64,64,32,tenengrad_energy,5,0.131113,1.000000,1.000000
vertical_bars,5,2,20271924,fine_32,32,16,laplacian_variance,21,0.060308,1.000000,1.000000
vertical_bars,5,2,20271924,fine_32,32,16,tenengrad_energy,21,0.142604,1.000000,1.000000
vertical_bars,5,3,20271925,overlap_64,64,32,laplacian_variance,5,0.047148,1.000000,1.000000
vertical_bars,5,3,20271925,overlap_64,64,32,tenengrad_energy,5,0.130790,1.000000,1.000000
vertical_bars,5,3,20271925,fine_32,32,16,laplacian_variance,21,0.062584,1.000000,1.000000
vertical_bars,5,3,20271925,fine_32,32,16,tenengrad_energy,21,0.141406,1.000000,1.000000
vertical_bars,5,4,20271926,overlap_64,64,32,laplacian_variance,5,0.047842,1.000000,1.000000
vertical_bars,5,4,20271926,overlap_64,64,32,tenengrad_energy,5,0.130819,1.000000,1.000000
vertical_bars,5,4,20271926,fine_32,32,16,laplacian_variance,21,0.059000,1.000000,1.000000
vertical_bars,5,4,20271926,fine_32,32,16,tenengrad_energy,21,0.142212,1.000000,1.000000
vertical_bars,5,5,20271927,overlap_64,64,32,laplacian_variance,5,0.048813,1.000000,1.000000
vertical_bars,5,5,20271927,overlap_64,64,32,tenengrad_energy,5,0.130750,1.000000,1.000000
vertical_bars,5,5,20271927,fine_32,32,16,laplacian_variance,21,0.063558,1.000000,1.000000
vertical_bars,5,5,20271927,fine_32,32,16,tenengrad_energy,21,0.141663,1.000000,1.000000
vertical_bars,5,6,20271928,overlap_64,64,32,laplacian_variance,5,0.047326,1.000000,1.000000
vertical_bars,5,6,20271928,overlap_64,64,32,tenengrad_energy,5,0.130778,1.000000,1.000000
vertical_bars,5,6,20271928,fine_32,32,16,laplacian_variance,21,0.061838,1.000000,1.000000
vertical_bars,5,6,20271928,fine_32,32,16,tenengrad_energy,21,0.141432,1.000000,1.000000
vertical_bars,5,7,20271929,overlap_64,64,32,laplacian_variance,5,0.049528,1.000000,1.000000
vertical_bars,5,7,20271929,overlap_64,64,32,tenengrad_energy,5,0.131498,1.000000,1.000000
vertical_bars,5,7,20271929,fine_32,32,16,laplacian_variance,21,0.064809,1.000000,1.000000
vertical_bars,5,7,20271929,fine_32,32,16,tenengrad_energy,21,0.142354,1.000000,1.000000
vertical_bars,5,8,20271930,overlap_64,64,32,laplacian_variance,5,0.048735,1.000000,1.000000
vertical_bars,5,8,20271930,overlap_64,64,32,tenengrad_energy,5,0.130766,1.000000,1.000000
vertical_bars,5,8,20271930,fine_32,32,16,laplacian_variance,21,0.061504,1.000000,1.000000
vertical_bars,5,8,20271930,fine_32,32,16,tenengrad_energy,21,0.141111,1.000000,1.000000
vertical_bars,5,9,20271931,overlap_64,64,32,laplacian_variance,5,0.047679,1.000000,1.000000
vertical_bars,5,9,20271931,overlap_64,64,32,tenengrad_energy,5,0.130861,1.000000,1.000000
vertical_bars,5,9,20271931,fine_32,32,16,laplacian_variance,21,0.058905,1.000000,1.000000
vertical_bars,5,9,20271931,fine_32,32,16,tenengrad_energy,21,0.142535,1.000000,1.000000
vertical_bars,15,0,20272922,overlap_64,64,32,laplacian_variance,5,0.322085,1.000000,1.000000
vertical_bars,15,0,20272922,overlap_64,64,32,tenengrad_energy,5,0.149701,1.000000,1.000000
vertical_bars,15,0,20272922,fine_32,32,16,laplacian_variance,21,0.358253,1.000000,1.000000
