pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
concentric_tiles,aligned,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.790867,0.250000,0.790867,
concentric_tiles,aligned,3,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.001298,1.000000,0.001298,1.000000
concentric_tiles,aligned,3,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.027582,1.000000,0.027582,1.000000
concentric_tiles,aligned,3,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.001298,1.000000,0.001298,1.000000
concentric_tiles,aligned,3,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.027582,1.000000,0.027582,1.000000
concentric_tiles,aligned,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.001340,1.000000,0.001558,1.000000
concentric_tiles,aligned,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.024610,1.000000,0.025934,1.000000
concentric_tiles,aligned,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.755121,0.250000,0.755121,
concentric_tiles,aligned,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.760445,0.250000,0.760445,
concentric_tiles,offset_16,1,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.476245,0.562500,0.476245,1.000000
concentric_tiles,offset_16,1,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.715836,0.562500,0.715836,1.000000
concentric_tiles,offset_16,1,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.426038,0.562500,0.459951,1.000000
concentric_tiles,offset_16,1,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.715836,0.562500,0.720608,1.000000
concentric_tiles,offset_16,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.034618,1.000000,0.044501,1.000000
concentric_tiles,offset_16,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.492879,1.000000,0.500615,1.000000
concentric_tiles,offset_16,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.762215,0.250000,0.762215,
concentric_tiles,offset_16,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.875216,0.250000,0.875216,
concentric_tiles,offset_16,2,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.465270,0.562500,0.465270,1.000000
concentric_tiles,offset_16,2,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.521981,0.562500,0.521981,1.000000
concentric_tiles,offset_16,2,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.417513,0.562500,0.450538,1.000000
concentric_tiles,offset_16,2,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.521981,0.562500,0.528511,1.000000
concentric_tiles,offset_16,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.008215,1.000000,0.010731,1.000000
concentric_tiles,offset_16,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.151839,1.000000,0.157625,1.000000
concentric_tiles,offset_16,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.759462,0.250000,0.759462,
concentric_tiles,offset_16,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.790153,0.250000,0.790153,
concentric_tiles,offset_16,3,nonoverlap_64,64,64,laplacian_variance,16,1,0.562500,0.467218,0.562500,0.467218,1.000000
concentric_tiles,offset_16,3,nonoverlap_64,64,64,tenengrad_energy,16,1,0.562500,0.451531,0.562500,0.451531,1.000000
concentric_tiles,offset_16,3,overlap_64,64,32,laplacian_variance,49,4,0.562500,0.420366,0.562500,0.453261,1.000000
concentric_tiles,offset_16,3,overlap_64,64,32,tenengrad_energy,49,4,0.562500,0.451531,0.562500,0.459092,1.000000
concentric_tiles,offset_16,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.001340,1.000000,0.001654,1.000000
concentric_tiles,offset_16,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.024610,1.000000,0.027586,1.000000
concentric_tiles,offset_16,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.762144,0.250000,0.762144,
concentric_tiles,offset_16,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.760173,0.250000,0.760173,
concentric_tiles,offset_32,1,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.763785,0.250000,0.763785,
concentric_tiles,offset_32,1,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.875798,0.250000,0.875798,
