history,history_description,alignment,crop_offset,noise_std,blur_sigma,metric,observations,score_mean,score_sample_std,primary_ratio_mean,primary_ratio_sample_std,primary_ratio_p10,primary_ratio_median,primary_ratio_p90,uncompressed_ratio_mean,uncompressed_ratio_sample_std
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,1,tenengrad_energy,15,40287.619834,45259.651458,0.996233,0.009198,0.982542,1.000980,1.003724,0.952283,0.061727
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,2,laplacian_variance,15,418.313928,158.661406,0.838934,0.049856,0.780035,0.822561,0.907445,0.198405,0.064829
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,2,tenengrad_energy,15,15347.591066,14046.206767,0.993962,0.008908,0.980383,0.996086,1.002159,0.935864,0.065059
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,3,laplacian_variance,15,322.356093,30.344903,0.806329,0.014362,0.787054,0.809653,0.819426,0.158981,0.013025
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,3,tenengrad_energy,15,5598.110547,2772.445849,0.990245,0.008094,0.978773,0.992826,0.997959,0.913071,0.053033
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,0,laplacian_variance,15,8049.479945,10364.332905,1.003831,0.005608,1.000000,1.000000,1.011492,0.938104,0.090606
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,0,tenengrad_energy,15,87818.262207,107418.556783,1.001356,0.001984,1.000000,1.000000,1.004067,1.006898,0.010098
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,1,laplacian_variance,15,496.268036,609.225639,0.997617,0.006478,0.989287,0.999191,1.004373,1.237668,0.113556
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,1,tenengrad_energy,15,36653.792745,43200.030903,1.000346,0.001210,0.998709,1.000964,1.001364,0.997042,0.009341
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,2,laplacian_variance,15,98.393502,115.864402,0.998033,0.001156,0.996680,0.998005,0.999415,1.426697,0.071582
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,2,tenengrad_energy,15,13211.518849,13841.132546,1.001822,0.001128,1.000945,1.001164,1.003358,1.009741,0.010359
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,3,laplacian_variance,15,32.640235,35.058664,0.983823,0.002714,0.981633,0.982326,0.987510,1.550246,0.301279
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,0,3,tenengrad_energy,15,3693.985921,2860.018716,0.999895,0.001424,0.998231,0.999854,1.001600,1.021944,0.003140
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,0,laplacian_variance,15,9380.090605,10309.139849,1.003033,0.002282,1.000385,1.003087,1.006323,0.840188,0.104586
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,0,tenengrad_energy,15,90349.037492,107178.373273,1.003147,0.003817,1.000101,1.001055,1.008604,1.025264,0.030915
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,1,laplacian_variance,15,1832.382314,635.100594,1.005223,0.002748,1.001694,1.005113,1.008703,0.731798,0.076385
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,1,tenengrad_energy,15,39746.285211,43861.743189,1.003533,0.004303,1.000158,1.001110,1.009531,1.029271,0.030995
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,2,laplacian_variance,15,1432.101489,118.327741,1.006635,0.001460,1.004684,1.006860,1.008037,0.687903,0.022427
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,2,tenengrad_energy,15,15831.465129,13921.963704,1.004623,0.004013,1.000971,1.002857,1.010353,1.037836,0.032223
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,3,laplacian_variance,15,1358.535019,43.650874,1.007509,0.001141,1.006273,1.007403,1.008834,0.670110,0.015052
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,aligned,0,15,3,tenengrad_energy,15,6272.640568,2837.595914,1.006539,0.003351,1.003297,1.005033,1.011078,1.050608,0.025910
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,0,laplacian_variance,15,8404.459793,10815.148228,1.027564,0.029815,1.004772,1.009721,1.068198,0.958197,0.071832
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,0,tenengrad_energy,15,90448.572347,110559.754485,1.003989,0.002158,1.001229,1.004471,1.006267,1.009526,0.009868
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,1,laplacian_variance,15,512.815567,630.308580,1.031058,0.003691,1.026129,1.032597,1.034448,1.294627,0.119231
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,1,tenengrad_energy,15,37308.150452,43831.197443,1.001043,0.001918,0.998534,1.001640,1.002954,0.997471,0.011895
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,2,laplacian_variance,15,88.304790,101.134642,0.999399,0.087430,0.889131,1.014752,1.094313,1.492839,0.206778
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,2,tenengrad_energy,15,13328.123291,13881.150388,1.004401,0.001662,1.002654,1.004018,1.006531,1.012555,0.010134
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,3,laplacian_variance,15,26.109191,24.248569,0.939745,0.177172,0.702016,1.019118,1.098102,1.460206,0.152857
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,0,3,tenengrad_energy,15,3688.695007,2814.531932,1.006501,0.005149,1.002084,1.003967,1.013452,1.028445,0.005049
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,0,laplacian_variance,15,9815.033710,10725.476305,1.041605,0.030893,1.005858,1.039301,1.079882,0.871529,0.084965
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,0,tenengrad_energy,15,92691.765786,109867.450664,1.006582,0.007065,1.000791,1.002797,1.016340,1.028777,0.034346
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,1,laplacian_variance,15,1942.904341,629.886717,1.073851,0.020149,1.045775,1.082883,1.090995,0.781631,0.067437
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,1,tenengrad_energy,15,40572.940824,44698.841842,1.008290,0.008009,1.001114,1.004713,1.019126,1.034229,0.035482
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,2,laplacian_variance,15,1544.012710,116.291160,1.086043,0.007104,1.075466,1.088080,1.093239,0.742289,0.020102
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,2,tenengrad_energy,15,15945.504166,13920.285212,1.010278,0.008527,1.002379,1.006695,1.022041,1.043491,0.037017
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,3,laplacian_variance,15,1472.542897,46.376278,1.090820,0.002851,1.087923,1.090105,1.094477,0.726747,0.015502
gray_q75_to_q95,grayscale JPEG quality 75 to quality 95,shifted_4x4,4,15,3,tenengrad_energy,15,6265.469035,2753.138222,1.013534,0.006396,1.007548,1.011061,1.021891,1.057872,0.029303
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,0,laplacian_variance,15,8147.538111,10287.217635,1.452204,0.645736,1.000000,1.022258,2.334353,1.300518,0.423727
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,0,tenengrad_energy,15,88161.901184,107176.468955,1.089167,0.114943,1.000000,1.021797,1.245705,1.096044,0.124980
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,1,laplacian_variance,15,759.605989,899.919813,1.722391,0.170946,1.493702,1.795660,1.877812,2.154907,0.394240
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,1,tenengrad_energy,15,37596.194153,43997.252999,1.065840,0.044602,1.022351,1.050617,1.124553,1.062687,0.053995
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,2,laplacian_variance,15,200.907617,248.664617,1.910311,0.264210,1.549657,2.077356,2.103920,2.717397,0.299068
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,2,tenengrad_energy,15,13832.543081,14520.509346,1.067259,0.034532,1.036009,1.052272,1.113495,1.075963,0.044382
gray_q75_to_q50,grayscale JPEG quality 75 to quality 50,aligned,0,0,3,laplacian_variance,15,66.579590,67.689242,2.131381,0.181059,1.931090,2.105796,2.357256,3.324209,0.473117
