pattern,gradient_axis_degrees,condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,relative_motion_angle_degrees,noise_std,metric,trials,score_mean,score_sample_std,score_p10,score_median,score_p90,ratio_mean,ratio_sample_std,ratio_p10,ratio_median,ratio_p90
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,15,laplacian_variance,10,4533.576625,16.484190,4515.595858,4530.919950,4550.810317,1.015918,0.001930,1.013516,1.015953,1.018337
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,15,tenengrad_energy,10,17618.863040,71.264960,17537.035364,17617.749252,17695.484826,0.286951,0.000707,0.286222,0.286940,0.287735
grating_45,45,identity,identity,0,,,,0,laplacian_variance,10,172.311675,0.000000,172.311675,172.311675,172.311675,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,0,tenengrad_energy,10,55502.132477,0.000000,55502.132477,55502.132477,55502.132477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,5,laplacian_variance,10,675.106907,3.326487,671.607879,674.581039,679.076943,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,5,tenengrad_energy,10,56093.114914,26.225629,56052.262348,56099.239700,56112.428452,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,15,laplacian_variance,10,4504.313187,30.757542,4466.253947,4513.191115,4537.021862,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,identity,identity,0,,,,15,tenengrad_energy,10,60281.790250,120.474915,60163.457435,60263.900878,60416.275772,1.000000,0.000000,1.000000,1.000000,1.000000
grating_45,45,defocus_r1,disk_defocus,1,,,,0,laplacian_variance,10,144.852966,0.000000,144.852966,144.852966,144.852966,0.840645,0.000000,0.840645,0.840645,0.840645
grating_45,45,defocus_r1,disk_defocus,1,,,,0,tenengrad_energy,10,52035.324432,0.000000,52035.324432,52035.324432,52035.324432,0.937537,0.000000,0.937537,0.937537,0.937537
grating_45,45,defocus_r1,disk_defocus,1,,,,5,laplacian_variance,10,647.476391,3.645023,642.854150,647.499846,652.101610,0.959070,0.001241,0.957835,0.958973,0.960491
grating_45,45,defocus_r1,disk_defocus,1,,,,5,tenengrad_energy,10,52627.053244,25.056023,52588.085199,52634.183213,52644.540335,0.938209,0.000019,0.938181,0.938211,0.938229
grating_45,45,defocus_r1,disk_defocus,1,,,,15,laplacian_variance,10,4540.468544,31.599690,4497.638379,4549.357206,4576.420214,1.008026,0.000699,1.007207,1.008218,1.008786
grating_45,45,defocus_r1,disk_defocus,1,,,,15,tenengrad_energy,10,57028.332160,120.615991,56905.431528,57017.529297,57155.825375,0.946029,0.000145,0.945847,0.946026,0.946210
grating_45,45,defocus_r2,disk_defocus,2,,,,0,laplacian_variance,10,124.696625,0.000000,124.696625,124.696625,124.696625,0.723669,0.000000,0.723669,0.723669,0.723669
grating_45,45,defocus_r2,disk_defocus,2,,,,0,tenengrad_energy,10,46607.182739,0.000000,46607.182739,46607.182739,46607.182739,0.839737,0.000000,0.839737,0.839737,0.839737
grating_45,45,defocus_r2,disk_defocus,2,,,,5,laplacian_variance,10,627.163767,3.292184,623.317819,626.854366,631.925235,0.928983,0.001045,0.927657,0.928858,0.930098
grating_45,45,defocus_r2,disk_defocus,2,,,,5,tenengrad_energy,10,47199.755020,23.476768,47163.897400,47207.525315,47215.678635,0.841453,0.000039,0.841411,0.841454,0.841499
grating_45,45,defocus_r2,disk_defocus,2,,,,15,laplacian_variance,10,4586.866833,32.236406,4545.393651,4593.222660,4624.343191,1.018327,0.000962,1.017242,1.018327,1.019523
grating_45,45,defocus_r2,disk_defocus,2,,,,15,tenengrad_energy,10,51802.975732,118.827677,51677.588333,51798.962326,51918.024582,0.859347,0.000331,0.858953,0.859288,0.859816
grating_45,45,defocus_r3,disk_defocus,3,,,,0,laplacian_variance,10,99.426544,0.000000,99.426544,99.426544,99.426544,0.577016,0.000000,0.577016,0.577016,0.577016
grating_45,45,defocus_r3,disk_defocus,3,,,,0,tenengrad_energy,10,37924.673706,0.000000,37924.673706,37924.673706,37924.673706,0.683301,0.000000,0.683301,0.683301,0.683301
grating_45,45,defocus_r3,disk_defocus,3,,,,5,laplacian_variance,10,602.016281,3.231869,598.693011,601.820402,606.500311,0.891734,0.001342,0.890531,0.891589,0.893378
grating_45,45,defocus_r3,disk_defocus,3,,,,5,tenengrad_energy,10,38518.854019,20.167707,38487.254212,38526.388199,38532.190671,0.686695,0.000058,0.686629,0.686702,0.686766
grating_45,45,defocus_r3,disk_defocus,3,,,,15,laplacian_variance,10,4609.322498,32.804574,4565.993279,4616.766805,4648.991890,1.023313,0.001555,1.021516,1.023690,1.024679
