stage,control_id,face_index,surface_type,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,edge_count,maximum_edge_length,adjacent_face_indices
constructed,fillet_operation,3,cylinder,12.566370614359172,11.636619772367581,4,5.636619772367581,0.70710678118654757,-0,0.70710678118654746,1.5707963267948966,8,11.0|0.0|5.0,-0.0|1.0|0.0,1,1,1,1,0,4,8,1|2|5|6
constructed,fillet_operation,4,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|5|7
constructed,fillet_operation,5,plane,71.785398163397446,5.9827308076378198,8,2.9916992820947312,-0,1,0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
constructed,fillet_operation,6,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,2|3|5|7
constructed,fillet_operation,7,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|4|5|6
step_imported,fillet_operation,1,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,fillet_operation,2,plane,71.785398163397446,5.9827308076378198,0,2.9916992820947312,0,-1,-0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
step_imported,fillet_operation,3,cylinder,12.566370614359993,11.63661977236754,4,5.6366197723676059,0.70710678118662085,0,0.70710678118647419,1.5707963267953104,8,11.0|0.0|5.0,-0.0|1.0|0.0,1,1,1,1,0,4,8,1|2|5|6
step_imported,fillet_operation,4,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|5|7
step_imported,fillet_operation,5,plane,71.785398163397446,5.9827308076378198,8,2.9916992820947312,-0,1,0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
step_imported,fillet_operation,6,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,2|3|5|7
step_imported,fillet_operation,7,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|4|5|6
constructed,cylindrical_boss,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,cylindrical_boss,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,cylindrical_boss,3,plane,91.091261478765944,6.107776277143298,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
constructed,cylindrical_boss,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,cylindrical_boss,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|4|6
constructed,cylindrical_boss,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,cylindrical_boss,7,cylinder,15.707963267948967,4,4,7,-1,1.2246467991473532e-16,0,6.2831853071795862,2,4.0|4.0|6.0,0.0|0.0|1.0,1.25,1,0.80000000000000004,1,0,3,7.8539816339744828,3|8
constructed,cylindrical_boss,8,plane,4.908738521234052,4.0000000000000009,4,8,0,0,1,2.5,2.5,,,,,0,1,0,1,7.8539816339744828,7
step_imported,cylindrical_boss,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,cylindrical_boss,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,cylindrical_boss,3,plane,91.091261478765944,6.107776277143298,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
step_imported,cylindrical_boss,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,cylindrical_boss,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|4|6
step_imported,cylindrical_boss,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,cylindrical_boss,7,cylinder,15.707963267950001,4.0000000000000826,4,7,-1,-2.0682310711021447e-13,0,6.2831853071800001,2,4.0|4.0|6.0,0.0|0.0|1.0,1.25,1,0.80000000000000004,1,0,3,7.8539816339744828,3|8
step_imported,cylindrical_boss,8,plane,4.908738521234052,4.0000000000000009,4,8,0,0,1,2.5,2.5,,,,,0,1,0,1,7.8539816339744828,7
