platform_label,observation_id,control_id,stage,entity_type,analysis_local_index,tolerance
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,1,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,2,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,3,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,4,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,5,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,6,5.2499999960708974e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,7,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,8,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,9,5.2499999960708974e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,10,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,edge,11,5.2499999960708974e-07
