pattern,placement,region_top,region_left,region_size,blur_sigma,configuration,window_size,stride,window_row,window_column,row_start,column_start,coverage_fraction,is_positive,laplacian_variance_reference,laplacian_variance_observed,laplacian_variance_ratio,tenengrad_energy_reference,tenengrad_energy_observed,tenengrad_energy_ratio
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,13,64,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,14,64,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,0,80,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,1,80,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,2,80,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,3,80,48,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,4,80,64,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,5,80,80,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,6,80,96,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,7,80,112,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,8,80,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,9,80,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,10,80,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,11,80,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,12,80,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,13,80,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,5,14,80,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,0,96,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,1,96,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,2,96,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,3,96,48,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,4,96,64,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,5,96,80,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,6,96,96,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,7,96,112,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,8,96,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,9,96,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,10,96,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,11,96,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,12,96,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,13,96,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,6,14,96,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,7,0,112,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,7,1,112,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,7,2,112,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
