fixture_id,fixture_family,mutation,encoder,policy,platform_profiles,source_decode_rate,output_rate,strict_accept_rate_among_outputs,output_decode_rate_among_outputs,byte_exact_envelope_rate_among_applicable,semantic_retention_rate_among_applicable,compressed_core_exact_rate,pixel_exact_rate_among_decoded_outputs,unique_output_jpeg_hashes,unique_output_pixel_hashes,behavior_signature_count,error_categories
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,pillow,preserve,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,pillow,strip,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,pillow,normalize,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,pillow,reject,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,opencv,preserve,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,opencv,strip,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
