pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
contrast_0_5,Grayscale linear transform with alpha 0.50,15,1,tenengrad_energy,30,0.250370,0.000402,0.250011,0.250187,0.250869,0.243700,0.169933,0.000002,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,2,laplacian_variance,30,0.251197,0.000208,0.250985,0.251191,0.251445,0.814817,0.952907,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,2,tenengrad_energy,30,0.250460,0.000425,0.250070,0.250270,0.251102,0.182997,0.175203,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,3,laplacian_variance,30,0.251268,0.000151,0.251127,0.251255,0.251434,0.818997,0.960153,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,3,tenengrad_energy,30,0.250626,0.000348,0.250262,0.250478,0.251121,0.155689,0.178896,0.000000,0.000000
contrast_1_25,Grayscale linear transform with alpha 1.25,0,0,laplacian_variance,30,1.462245,0.149817,1.253933,1.566027,1.566774,1.462245,0.149817,0.000000,0.166667
contrast_1_25,Grayscale linear transform with alpha 1.25,0,0,tenengrad_energy,30,1.461963,0.149614,1.253933,1.565756,1.566199,1.461963,0.149614,0.000000,0.166667
contrast_1_25,Grayscale linear transform with alpha 1.25,0,1,laplacian_variance,30,1.631005,0.062121,1.575007,1.602049,1.715958,0.081190,0.017901,0.000000,0.085937
contrast_1_25,Grayscale linear transform with alpha 1.25,0,1,tenengrad_energy,30,1.520153,0.063848,1.431408,1.562476,1.566575,0.728842,0.099141,0.000000,0.085937
contrast_1_25,Grayscale linear transform with alpha 1.25,0,2,laplacian_variance,30,1.644810,0.073864,1.585905,1.601403,1.747123,0.016020,0.002565,0.000000,0.013743
contrast_1_25,Grayscale linear transform with alpha 1.25,0,2,tenengrad_energy,30,1.560155,0.006480,1.551345,1.562927,1.566193,0.360552,0.107442,0.000000,0.013743
